ID,Herbal Image,Herbal Name,Scientific Name,Symptoms,Preparation,Precautions,Botany
721,,Kalimomog,Glochidion rubrum,"Traditionally used for treating diarrhea, dysentery, fever, wounds, skin infections, inflammation, and stomach disorders. The bark and leaves are the most commonly used medicinal parts.","Bark or leaves are boiled in water to prepare a decoction that is taken orally for digestive complaints. Fresh leaves may also be crushed and applied directly to wounds, ulcers, and inflamed skin.",Limited scientific evidence is available regarding the medicinal safety of Glochidion rubrum. Excessive consumption may cause digestive discomfort. Individuals with chronic liver or kidney disease should consult a healthcare provider before medicinal use. Pregnant and breastfeeding women should avoid using concentrated herbal preparations unless prescribed by a qualified healthcare professional.,Glochidion rubrum is an evergreen shrub or small tree belonging to the Phyllanthaceae family. It commonly grows between 2 and 8 meters tall with smooth gray bark and simple alternate leaves. Small greenish flowers develop into rounded capsules that split open when mature to release several seeds. The species grows naturally in forests and mountainous areas throughout Southeast Asia.
722,,Kalimutain,Pseuderanthemum carruthersii,"Traditionally used to relieve fever, cough, skin infections, wounds, boils, inflammation, headaches, and insect bites. The leaves are commonly used because of their soothing and antimicrobial properties.","Fresh leaves are crushed and applied directly to wounds, boils, insect bites, and inflamed skin. Leaves may also be boiled to prepare a decoction for fever and cough, although internal use is less common than external application.","While Pseuderanthemum carruthersii has a long history of traditional use, there is limited scientific evidence regarding its long-term medicinal safety. Excessive consumption may cause stomach discomfort or nausea. Individuals with allergies to ornamental plants should use caution. Pregnant and breastfeeding women should consult a healthcare professional before using medicinal preparations from this plant.","Pseuderanthemum carruthersii is an evergreen ornamental shrub belonging to the Acanthaceae family. It usually grows between 1 and 3 meters tall with smooth stems and glossy opposite leaves that may be green, purple, or variegated depending on the variety. The plant produces attractive tubular white, pink, or pale purple flowers and thrives in warm tropical climates, where it is commonly grown as a hedge or ornamental landscape plant."
723,,Kalinga Balete,Ficus pseudopalma,"Traditionally used to help manage diabetes, high blood pressure, kidney disorders, urinary tract infections, fever, wounds, inflammation, and digestive complaints. The leaves are the most commonly used medicinal part because of their reported antioxidant and anti-inflammatory properties.","Fresh or dried leaves are boiled in water to prepare a decoction or herbal tea that is consumed in moderate amounts. Crushed fresh leaves may also be applied directly to wounds, boils, and inflamed skin to promote healing.","Although Ficus pseudopalma has been traditionally used for generations, scientific studies on its long-term safety remain limited. Excessive intake may cause digestive discomfort or diarrhea. Individuals taking medications for diabetes or hypertension should consult a healthcare professional because the plant may enhance the effects of these medications. Pregnant and breastfeeding women should avoid medicinal use unless recommended by a qualified healthcare provider.","Ficus pseudopalma, commonly known as Philippine fig or niyog-niyogan balete, is a small tree belonging to the Moraceae family and is endemic to the Philippines. It grows between 3 and 8 meters tall with a slender unbranched trunk topped by a crown of long, narrow leaves. Like other figs, it produces clusters of small green fruits that become yellow or reddish when mature. The plant naturally grows in forests, rocky slopes, and mountainous regions."
724,,Kalingag,Cinnamomum mercadoi,"Traditionally used to relieve cough, colds, stomachache, diarrhea, flatulence, rheumatism, and body pain. The bark is highly valued because of its aromatic oils and traditional antimicrobial properties.","The bark is dried and boiled in water to prepare a decoction or herbal tea. Powdered bark may also be added to traditional herbal preparations, while the leaves are sometimes infused for mild digestive complaints.","The bark contains naturally occurring coumarins and essential oils that may irritate the stomach or affect the liver if consumed excessively over long periods. Individuals with liver disease, bleeding disorders, or those taking blood-thinning medications should consult a healthcare provider before medicinal use. Pregnant and breastfeeding women should avoid consuming concentrated herbal preparations unless medically advised.",Cinnamomum mercadoi is an evergreen tree belonging to the Lauraceae family and is native to the Philippines. It commonly grows between 10 and 25 meters tall with smooth aromatic bark and glossy elliptic leaves that release a cinnamon-like fragrance when crushed. Small yellowish-green flowers develop into dark purple fruits. The species grows naturally in lowland and montane forests and is valued for both its timber and medicinal bark.
725,,Kalios,Leucas aspera,"Traditionally used to relieve cough, colds, fever, asthma, insect bites, skin infections, headaches, inflammation, and digestive disorders. The leaves and flowers are widely used because of their antimicrobial and anti-inflammatory properties.","Fresh leaves and flowering tops are boiled to prepare a decoction or herbal tea for respiratory and digestive ailments. Crushed leaves are also applied externally to insect bites, wounds, boils, and swollen areas.","Excessive intake may cause nausea, stomach irritation, or diarrhea. Individuals who are allergic to plants in the mint family (Lamiaceae) should use caution. Pregnant and breastfeeding women should consult a healthcare provider before medicinal use because adequate safety studies are limited.","Leucas aspera is an erect annual herb belonging to the Lamiaceae family. It grows between 20 and 60 centimeters tall with square stems, narrow hairy leaves, and clusters of small white tubular flowers arranged around the stem at regular intervals. It commonly grows in open fields, grasslands, roadsides, and cultivated areas throughout tropical Asia."
726,,Kalipkip,Desmodium gangeticum,"Traditionally used for fever, cough, asthma, diarrhea, dysentery, urinary tract infections, rheumatism, body pain, and general weakness. The roots and leaves are commonly used in traditional herbal medicine.","The roots or leaves are boiled in water to prepare a decoction that is taken orally. Fresh leaves may also be crushed into a paste and applied externally to wounds, boils, insect bites, and swollen joints.","Although widely used in traditional medicine, long-term clinical safety has not been fully established. Excessive consumption may lead to digestive discomfort or nausea. Individuals taking medications for chronic illnesses should seek medical advice before medicinal use. Pregnant and breastfeeding women should avoid concentrated herbal preparations because sufficient safety data are unavailable.","Desmodium gangeticum is an erect perennial herb belonging to the Fabaceae family. It usually grows between 50 centimeters and 1.5 meters tall with woody stems and simple to slightly compound leaves. Small purple or pink flowers develop into segmented seed pods that readily attach to clothing and animal fur. The plant commonly grows in grasslands, forest margins, and open woodlands throughout tropical Asia."
727,,Kaliskis-ahas,Drymoglossum piloselloides,"Traditionally used to relieve fever, cough, skin infections, wounds, boils, diarrhea, inflammation, and headaches. The fronds are commonly used because of their cooling and antimicrobial properties.","Fresh fronds are crushed and applied directly to wounds, boils, burns, and insect bites. The whole plant may also be boiled in water to prepare a decoction that is consumed in small amounts for fever and digestive complaints.",Scientific evidence regarding the medicinal safety of this fern remains limited. Excessive internal consumption may result in stomach discomfort or diarrhea. Individuals with chronic medical conditions should consult a healthcare professional before medicinal use. Pregnant and breastfeeding women should avoid using concentrated herbal preparations unless medically advised.,"Drymoglossum piloselloides is a small epiphytic fern belonging to the Polypodiaceae family. It grows attached to tree trunks, rocks, and old walls rather than in soil. The plant has creeping rhizomes and two types of fronds: small rounded sterile fronds and longer narrow fertile fronds that bear spores. It thrives in humid tropical forests and shaded environments throughout Southeast Asia."
728,,Kaliskis-dalag,Pyrrosia piloselloides,"Traditionally used to treat cough, fever, wounds, burns, urinary tract infections, inflammation, and skin diseases. The entire plant is valued in traditional medicine for its soothing and antimicrobial properties.","Fresh fronds are crushed and applied directly to wounds, burns, boils, and inflamed skin. The whole plant may also be boiled to prepare a decoction or herbal tea for fever and urinary complaints.","Although traditionally regarded as safe, there are limited scientific studies evaluating its long-term medicinal use. Excessive intake may cause digestive discomfort. Individuals with chronic kidney disease should consult a healthcare provider before medicinal use. Pregnant and breastfeeding women should avoid concentrated herbal preparations because adequate safety data are lacking.","Pyrrosia piloselloides is a small epiphytic fern belonging to the Polypodiaceae family. It produces creeping rhizomes that firmly attach to tree bark, rocks, or walls. The plant bears dimorphic fronds consisting of rounded sterile leaves and elongated fertile leaves that carry spores on their undersides. It is commonly found in humid tropical forests and cultivated landscapes throughout Southeast Asia."
729,,Kalit-kalit,Alysicarpus vaginalis,"Traditionally used to relieve fever, cough, diarrhea, dysentery, urinary tract infections, body pain, wounds, and inflammation. The leaves and roots are commonly used in folk medicine.","Leaves and roots are boiled into a decoction for fever, digestive disorders, and urinary complaints. Fresh leaves may also be crushed and applied externally to wounds, boils, and insect bites.",There is limited scientific information regarding the medicinal safety of Alysicarpus vaginalis. Excessive consumption may result in nausea or stomach discomfort. Individuals with chronic illnesses should seek medical advice before medicinal use. Pregnant and breastfeeding women should avoid concentrated herbal preparations unless recommended by a qualified healthcare provider.,"Alysicarpus vaginalis is a low-growing perennial herb belonging to the Fabaceae family. It grows between 20 and 80 centimeters tall with slender stems and simple narrow leaves. Small pink to purple flowers develop into segmented pods that readily break apart when mature. The species commonly grows in grasslands, roadsides, open fields, and disturbed areas throughout tropical regions."
730,,Kaliuas,Pterocarpus indicus,"Traditionally used to relieve diarrhea, dysentery, fever, skin diseases, wounds, inflammation, mouth ulcers, and urinary disorders. The bark and leaves are commonly used because of their astringent and antimicrobial properties.","Bark or leaves are boiled in water to prepare a medicinal decoction for digestive disorders and fever. Fresh leaves may also be crushed and applied directly to wounds, ulcers, and inflamed skin.",Excessive medicinal use may cause digestive discomfort or stomach irritation. Individuals with chronic liver or kidney disease should consult a healthcare professional before using herbal preparations. Pregnant and breastfeeding women should avoid medicinal use unless advised by a qualified healthcare provider.,"Pterocarpus indicus, commonly known as narra, is a large deciduous tree belonging to the Fabaceae family. It commonly reaches heights of 20 to 35 meters with a broad spreading crown and rough gray-brown bark. The compound leaves consist of several glossy leaflets, while fragrant yellow flowers develop into distinctive winged seed pods. It is native to the Philippines and many parts of Southeast Asia and is highly valued for its durable hardwood."
731,,Kalkugamat,Acorus calamus,"Traditionally used to relieve indigestion, stomach cramps, diarrhea, cough, sore throat, fever, headaches, and nervous disorders. The aromatic rhizome is the primary medicinal part because of its carminative and stimulant properties.","The rhizome is cleaned, sliced, and boiled in water to prepare a decoction or herbal tea. It may also be dried and powdered for use in traditional herbal formulations under proper supervision.","Certain varieties of Acorus calamus contain beta-asarone, a compound that may be toxic or carcinogenic in high amounts. Long-term or excessive consumption should be avoided. Pregnant and breastfeeding women should not use medicinal preparations of this plant. Individuals with liver disease or those taking sedative medications should consult a healthcare professional before use.","Acorus calamus, commonly known as sweet flag, is a perennial wetland herb belonging to the Acoraceae family. It grows between 60 centimeters and 2 meters tall with sword-shaped aromatic leaves arising from thick creeping rhizomes. Small greenish flowers are borne on a cylindrical spadix. The plant thrives along marshes, ponds, streams, and other wet habitats throughout temperate and tropical regions."
732,,Kalog-kalog,Crinum asiaticum,"Traditionally used to relieve joint pain, rheumatism, swelling, fever, wounds, boils, sprains, and skin inflammation. The leaves and bulbs are commonly used externally because of their anti-inflammatory properties.","Fresh leaves are warmed over gentle heat and applied as a poultice to painful joints, swollen muscles, boils, and sprains. The bulb may also be processed into a traditional external preparation, but internal use is uncommon because of its toxicity.","The bulbs contain toxic alkaloids and should never be consumed without expert supervision. Ingestion may cause severe nausea, vomiting, abdominal pain, diarrhea, dizziness, and poisoning. Contact with the sap may irritate sensitive skin. Pregnant and breastfeeding women should avoid medicinal use. The plant should be kept away from children and pets due to the toxicity of its bulbs.","Crinum asiaticum, commonly known as giant crinum lily or poison bulb, is a large perennial bulbous plant belonging to the Amaryllidaceae family. It forms a rosette of long, broad, strap-like leaves that may exceed one meter in length. Tall flowering stalks bear clusters of fragrant white spider-like flowers with long narrow petals. The plant commonly grows in coastal areas, gardens, and moist tropical habitats throughout Asia and the Pacific."
733,,Kalong,Mitragyna diversifolia,"Traditionally used to relieve fever, diarrhea, dysentery, stomachache, inflammation, wounds, skin infections, and body pain. The bark and leaves are commonly utilized in indigenous medicine because of their antimicrobial and anti-inflammatory properties.","Fresh leaves or bark are boiled in water to prepare a decoction that is taken orally for digestive disorders and fever. Crushed leaves may also be applied directly to wounds, boils, and inflamed skin to promote healing.","Although traditionally used in herbal medicine, there are limited scientific studies regarding the long-term safety of Mitragyna diversifolia. Excessive intake may cause nausea, stomach irritation, or diarrhea. Individuals with chronic liver or kidney disease should seek medical advice before medicinal use. Pregnant and breastfeeding women should avoid using concentrated herbal preparations unless recommended by a qualified healthcare professional.","Mitragyna diversifolia is a medium to large evergreen tree belonging to the Rubiaceae family. It commonly grows between 10 and 30 meters tall with a straight trunk and spreading crown. The leaves are broad, glossy, and arranged oppositely, while the small yellowish flowers are grouped into spherical flower heads. It naturally grows in swamp forests, riverbanks, and other moist lowland habitats throughout Southeast Asia."
734,,Kalpueng,Sterculia cordata,"Traditionally used to treat fever, cough, diarrhea, skin infections, wounds, inflammation, and stomach disorders. The bark and leaves are commonly used in traditional medicine because of their soothing and antimicrobial properties.","The bark or leaves are boiled to prepare a decoction for digestive and respiratory ailments. Fresh leaves may also be crushed into a paste and applied externally to wounds, boils, insect bites, and inflamed skin.",Scientific evidence supporting the medicinal use of Sterculia cordata remains limited. Excessive consumption may cause digestive discomfort or nausea. Pregnant and breastfeeding women should avoid medicinal use because adequate safety studies are unavailable. Individuals with chronic medical conditions should consult a healthcare provider before using herbal preparations.,"Sterculia cordata is a medium-sized deciduous tree belonging to the Malvaceae family. It typically grows between 10 and 25 meters tall with a straight trunk and broad crown. The leaves are large, heart-shaped, and palmately veined. Small greenish-yellow flowers develop into woody fruits that split open when mature to expose several shiny black seeds. The species is found in tropical forests throughout Southeast Asia."
735,,Kalulot,Corchorus olitorius,"Traditionally used to relieve constipation, fever, cough, sore throat, inflammation, urinary tract infections, and digestive disorders. The leaves are rich in vitamins, minerals, and antioxidants and are widely consumed as both food and medicine.","Fresh leaves are cooked in soups or vegetable dishes, or boiled to prepare a decoction for fever and digestive complaints. The mucilaginous leaves may also be prepared as herbal tea or applied externally as a poultice to minor skin irritations.","Corchorus olitorius is generally safe when consumed as a vegetable. However, excessive intake may cause mild diarrhea because of its high fiber content. The seeds should not be consumed in large amounts because they contain compounds that may be toxic. Individuals with chronic digestive disorders should introduce the plant gradually into their diet.","Corchorus olitorius, commonly known as jute mallow, is an erect annual herb belonging to the Malvaceae family. It grows between 1 and 3 meters tall with slender green stems and simple serrated leaves. Small yellow flowers develop into long cylindrical seed capsules. The plant thrives in warm tropical climates and is widely cultivated as both a leafy vegetable and a source of jute fiber."
736,,Kalumbibit,Mallotus philippensis,"Traditionally used to treat intestinal worms, diarrhea, skin diseases, wounds, boils, inflammation, and parasitic infections. The reddish powder covering the fruits has long been valued in traditional medicine.","The fruit powder is traditionally processed into medicinal preparations under proper supervision. Leaves and bark may also be boiled into a decoction, while crushed leaves are applied externally to wounds and skin infections.","The reddish fruit powder contains potent bioactive compounds and should not be taken in excessive amounts because it may cause severe diarrhea, abdominal cramps, and dehydration. Pregnant and breastfeeding women should avoid medicinal use. Individuals with gastrointestinal disorders should consult a healthcare provider before using this plant.",Mallotus philippensis is a small to medium-sized evergreen tree belonging to the Euphorbiaceae family. It usually grows between 5 and 15 meters tall with broad ovate leaves that are pale beneath. Small greenish flowers develop into three-lobed fruits covered with a distinctive bright reddish powder. The species is widely distributed in tropical Asia and commonly grows in secondary forests and open woodlands.
737,,Kalumpang,Octomeles sumatrana,"Traditionally used to relieve fever, diarrhea, wounds, skin infections, inflammation, and body pain. The bark and leaves are commonly utilized in indigenous medicine because of their reported antimicrobial and anti-inflammatory properties.","Fresh bark or leaves are boiled in water to prepare a decoction for fever and digestive complaints. Crushed leaves may be applied directly to wounds, boils, and inflamed skin to support healing.",There are limited scientific studies evaluating the medicinal safety of Octomeles sumatrana. Excessive intake may result in digestive discomfort or nausea. Individuals with chronic medical conditions should consult a healthcare provider before medicinal use. Pregnant and breastfeeding women should avoid concentrated herbal preparations because adequate safety information is unavailable.,"Octomeles sumatrana is one of the tallest tropical trees in Southeast Asia and belongs to the Tetramelaceae family. It may exceed 60 meters in height and develops a massive straight trunk with prominent buttress roots. The leaves are large and heart-shaped, while the tiny greenish flowers are borne in branched clusters. The tree grows naturally in lowland rainforests and is highly valued for timber production."
738,,Kalumpit,Terminalia microcarpa,"Traditionally used to relieve diarrhea, dysentery, cough, sore throat, fever, skin infections, wounds, and inflammation. The bark, leaves, and fruits are valued for their astringent and antimicrobial properties.","The bark or leaves are boiled to prepare a decoction that is taken orally for digestive and respiratory ailments. Fresh leaves may also be crushed into a paste and applied externally to wounds, boils, and inflamed skin.",Excessive intake may cause constipation or stomach irritation because the plant contains high levels of tannins. Individuals with chronic kidney or liver disease should seek medical advice before medicinal use. Pregnant and breastfeeding women should avoid concentrated herbal preparations unless recommended by a qualified healthcare provider.,"Terminalia microcarpa is a medium to large deciduous tree belonging to the Combretaceae family. It grows between 10 and 30 meters tall with a broad spreading crown and smooth gray bark. The leaves are simple, glossy, and clustered near the ends of branches. Small greenish-white flowers develop into oval wingless fruits. The species is native to the Philippines and other parts of Southeast Asia."
739,,Kalupad,Pisonia alba,"Traditionally used to relieve joint pain, rheumatism, fever, cough, constipation, inflammation, skin diseases, and wounds. The leaves are valued for their cooling and anti-inflammatory properties.","Fresh leaves are warmed and applied as a poultice to swollen joints, sprains, boils, and painful muscles. The leaves may also be boiled into a decoction for fever and digestive complaints.","Although Pisonia alba is commonly used in traditional medicine, scientific evidence regarding its medicinal safety is limited. Excessive consumption may cause digestive discomfort. Pregnant and breastfeeding women should avoid medicinal use unless advised by a qualified healthcare provider. Individuals with chronic illnesses should seek professional medical advice before using herbal preparations.",Pisonia alba is a small evergreen tree belonging to the Nyctaginaceae family. It usually grows between 3 and 10 meters tall with thick succulent branches and large smooth bright green leaves. Small greenish-white fragrant flowers are produced in dense clusters and later develop into sticky fruits that adhere to birds for seed dispersal. The tree thrives in tropical coastal regions and is widely cultivated as an ornamental plant.
740,,Kalupat,Flagellaria indica,"Traditionally used to treat fever, cough, urinary tract infections, wounds, skin diseases, rheumatism, inflammation, and digestive disorders. The leaves and roots are commonly used in indigenous medicine.","Leaves or roots are boiled to prepare a decoction that is taken orally for fever and urinary complaints. Fresh leaves may be crushed and applied directly to wounds, boils, and inflamed skin to promote healing.",Scientific information regarding the medicinal safety of Flagellaria indica remains limited. Excessive intake may result in stomach irritation or diarrhea. Individuals with chronic liver or kidney disease should seek medical advice before medicinal use. Pregnant and breastfeeding women should avoid concentrated herbal preparations because adequate safety data are lacking.,"Flagellaria indica is a climbing perennial belonging to the Flagellariaceae family. It produces long slender stems that climb surrounding vegetation using tendril-like leaf tips. The leaves are narrow, leathery, and glossy green. Small whitish flowers develop into rounded red fruits that later become black when fully mature. The species commonly grows in tropical forests, mangroves, and coastal habitats throughout Asia and the Pacific."
741,,Kamagong Bundok,Diospyros blancoi,"Traditionally used to relieve diarrhea, dysentery, fever, cough, wounds, inflammation, and skin infections. The bark and leaves are commonly used in traditional herbal medicine because of their astringent and antimicrobial properties.","The bark or leaves are boiled in water to prepare a decoction for digestive complaints and fever. Fresh leaves may also be crushed and applied externally to wounds, boils, and inflamed skin. The ripe fruits are eaten as food but are not generally used as medicine.",Medicinal preparations should be used only in moderate amounts because scientific evidence regarding long-term safety remains limited. Excessive consumption may cause digestive discomfort or constipation due to the plant's tannin content. Pregnant and breastfeeding women should avoid concentrated herbal preparations unless advised by a qualified healthcare provider.,"Diospyros blancoi, commonly known as velvet apple or mabolo, is an evergreen tree belonging to the Ebenaceae family. It grows between 10 and 20 meters tall with dark rough bark and dense glossy foliage. The leaves are large, leathery, and covered with fine hairs on the underside. The tree produces fragrant reddish-brown fruits with velvety skin surrounding sweet edible flesh. It is native to the Philippines and is valued for its fruits and durable hardwood."
742,,Kamagsa,Ehretiա microphylla,"Traditionally used to relieve cough, colds, diarrhea, stomachache, wounds, skin infections, inflammation, and body pain. The leaves are commonly used in traditional medicine because of their antimicrobial and anti-inflammatory properties.","Fresh leaves are boiled in water to prepare a decoction for respiratory and digestive ailments. Crushed leaves may also be applied directly to wounds, insect bites, boils, and inflamed skin to promote healing.","Although traditionally used for many ailments, there are limited scientific studies regarding its long-term medicinal safety. Excessive consumption may cause nausea or mild digestive discomfort. Individuals with chronic medical conditions should consult a healthcare provider before medicinal use. Pregnant and breastfeeding women should avoid concentrated herbal preparations because sufficient safety information is not available.","Ehretia microphylla, commonly known as Philippine tea tree or tsaang gubat, is an evergreen shrub belonging to the Boraginaceae family. It typically grows between 1 and 4 meters tall with numerous woody branches and small rough-textured leaves having serrated edges. Small white flowers develop into tiny orange to red fruits that later become dark when fully ripe. The plant grows naturally in open forests, grasslands, and secondary vegetation throughout the Philippines."
743,,Kamandis,Garcinia dulcis,"Traditionally used to relieve fever, cough, diarrhea, dysentery, stomachache, skin infections, inflammation, and wounds. The fruits, bark, and leaves are valued for their antioxidant and antimicrobial properties.","The bark or leaves are boiled in water to prepare a decoction for digestive disorders and fever. Fresh leaves may also be crushed and applied to wounds, boils, and inflamed skin. The ripe fruits are eaten fresh or processed into juice and preserves.","Although the fruit is generally safe when eaten as food, excessive intake of medicinal preparations may cause stomach discomfort or diarrhea. Individuals with chronic liver or kidney disease should consult a healthcare professional before using herbal remedies. Pregnant and breastfeeding women should avoid concentrated preparations unless advised by a qualified healthcare provider.","Garcinia dulcis is a medium-sized evergreen tree belonging to the Clusiaceae family. It usually grows between 10 and 20 meters tall with a dense crown, glossy dark green leaves, and yellow to orange fragrant flowers. The tree produces round yellow fruits with juicy edible pulp. It thrives in tropical forests and cultivated orchards throughout Southeast Asia."
744,,Kamangi,Ocimum basilicum var. thyrsiflora,"Traditionally used to relieve cough, colds, fever, indigestion, stomach cramps, diarrhea, headaches, stress, and mild skin infections. The aromatic leaves also possess antimicrobial and antioxidant properties.","Fresh leaves are brewed as herbal tea or boiled into a decoction for respiratory and digestive complaints. Crushed leaves may be applied externally to insect bites, minor wounds, and itchy skin. The fresh leaves are also commonly consumed as a culinary herb.","Kamangi is generally safe when consumed as food. However, excessive intake of concentrated herbal preparations may cause stomach irritation in sensitive individuals. Essential oil should never be taken internally unless prescribed by a qualified healthcare professional. Pregnant and breastfeeding women should consult a healthcare provider before using concentrated medicinal preparations.","Ocimum basilicum var. thyrsiflora, commonly known as Thai basil or kamangi, is an aromatic perennial herb belonging to the Lamiaceae family. It grows between 30 and 80 centimeters tall with square stems, lance-shaped glossy leaves, and purple flower spikes. The plant thrives in warm tropical climates and is widely cultivated in home gardens for culinary and medicinal purposes."
745,,Kamansi,Artocarpus camansi,"Traditionally used to relieve high blood pressure, diabetes, constipation, diarrhea, fever, skin diseases, inflammation, and wounds. The leaves, bark, and seeds have long been utilized in traditional medicine, while the fruits are consumed as food.","The leaves are boiled into a decoction for diabetes and hypertension. The fruits and seeds are cooked before consumption, while crushed leaves may be applied externally to wounds, boils, and skin infections.",The seeds should always be cooked thoroughly before eating because raw seeds may cause digestive discomfort. Individuals with allergies to jackfruit or breadfruit should use caution due to possible cross-reactivity. People taking medications for diabetes or hypertension should consult a healthcare provider before medicinal use because the plant may enhance the effects of these medications.,"Artocarpus camansi, commonly known as breadnut, is a large evergreen tree belonging to the Moraceae family. It grows between 10 and 20 meters tall with a broad canopy and large deeply lobed leaves. The tree produces large spiny green fruits filled with numerous edible seeds. It is widely cultivated throughout tropical regions as both a food crop and a medicinal plant."
746,,Kamantigi,Impatiens balsamina,"Traditionally used to treat fungal skin infections, boils, wounds, burns, nail infections, rheumatism, joint pain, and inflammation. The flowers, leaves, and seeds are commonly used in traditional herbal medicine.","Fresh leaves and flowers are crushed into a paste and applied directly to fungal infections, wounds, boils, and inflamed skin. The whole plant may also be boiled into a decoction for external washing of affected areas.",The seeds and other plant parts should not be consumed in excessive amounts because they may cause digestive discomfort. Some individuals may experience skin irritation after direct application of fresh plant material. Pregnant and breastfeeding women should avoid medicinal use unless recommended by a qualified healthcare provider.,"Impatiens balsamina, commonly known as garden balsam, is an annual flowering herb belonging to the Balsaminaceae family. It grows between 30 and 90 centimeters tall with succulent stems, narrow lance-shaped leaves, and brightly colored flowers in shades of pink, red, white, purple, or violet. The mature seed pods burst open when touched, dispersing the seeds."
747,,Ka Maria,Clerodendrum chinense,"Traditionally used to relieve fever, cough, asthma, diarrhea, headaches, rheumatism, skin diseases, wounds, and inflammation. The leaves and roots are commonly utilized in traditional herbal medicine.","Fresh leaves are boiled into a decoction that is taken orally for fever and respiratory complaints. Crushed leaves are also applied externally to wounds, boils, swollen joints, and insect bites.",Scientific evidence supporting the medicinal use of Clerodendrum chinense is still limited. Excessive intake may result in nausea or mild digestive discomfort. Individuals with chronic illnesses should seek medical advice before medicinal use. Pregnant and breastfeeding women should avoid concentrated herbal preparations because adequate safety studies are unavailable.,Clerodendrum chinense is an evergreen shrub belonging to the Lamiaceae family. It typically grows between 1 and 3 meters tall with broad heart-shaped leaves covered in soft hairs. The plant produces dense clusters of fragrant white or pale pink double flowers and is commonly cultivated as an ornamental throughout tropical Asia.
748,,Kamariang-sungsong,Clerodendrum inerme,"Traditionally used to relieve cough, fever, asthma, skin diseases, wounds, rheumatism, inflammation, and digestive disorders. The leaves and roots are valued for their anti-inflammatory and antimicrobial properties.","Leaves are boiled to prepare a decoction for respiratory and digestive ailments. Fresh leaves are crushed into a paste and applied externally to wounds, boils, insect bites, and inflamed skin.","Although widely used in traditional medicine, there is limited clinical evidence regarding its long-term safety. Excessive intake may cause stomach irritation or diarrhea. Pregnant and breastfeeding women should avoid medicinal use unless advised by a healthcare professional. Individuals with chronic medical conditions should consult a healthcare provider before using concentrated herbal preparations.","Clerodendrum inerme is an evergreen shrub belonging to the Lamiaceae family. It grows between 1 and 4 meters tall with smooth branches and glossy oval leaves. The fragrant white flowers have long purple stamens and develop into small black fruits. The species commonly grows along seashores, mangroves, and coastal forests throughout tropical regions."
749,,Kamatis,Solanum lycopersicum,"Traditionally used to promote heart health, improve digestion, reduce inflammation, support wound healing, and help manage high blood pressure due to its rich content of vitamins, lycopene, and antioxidants. Fresh tomato juice has also been used to soothe minor skin irritation and sunburn.","The ripe fruits are eaten fresh, cooked in soups and other dishes, or blended into juice. Fresh pulp may be applied externally to minor sunburns or oily skin in traditional home remedies.","Tomatoes are generally safe when consumed as food. However, excessive intake may worsen acid reflux or heartburn in susceptible individuals because of their natural acidity. People with allergies to tomatoes or other members of the nightshade family should avoid their use. Medicinal use should not replace prescribed treatment for chronic illnesses.","Solanum lycopersicum is an annual herbaceous plant belonging to the Solanaceae family. It grows between 50 centimeters and 2 meters tall with soft hairy stems and compound leaves that emit a characteristic odor when crushed. Yellow flowers develop into fleshy fruits that vary in size, shape, and color depending on the variety. It is widely cultivated throughout the world as one of the most important vegetable crops."
750,,Kamatsile,Pithecellobium dulce,"Traditionally used to relieve diarrhea, dysentery, sore throat, gum infections, fever, skin diseases, wounds, and inflammation. The bark, leaves, and fruits are commonly used because of their antimicrobial and astringent properties.","The bark or leaves are boiled into a decoction for digestive disorders and sore throat. Crushed leaves may be applied externally to wounds, boils, and inflamed skin, while the ripe fruits are eaten fresh.",The fruits are generally safe when consumed in moderation. Excessive intake of bark or leaf preparations may cause stomach irritation due to their tannin content. Individuals with chronic liver or kidney disease should consult a healthcare professional before medicinal use. Pregnant and breastfeeding women should avoid concentrated herbal preparations unless medically advised.,"Pithecellobium dulce, commonly known as Manila tamarind, is a medium-sized thorny tree belonging to the Fabaceae family. It commonly grows between 10 and 20 meters tall with spreading branches and bipinnate leaves. The tree bears fragrant greenish-white flowers followed by twisted pink seed pods containing sweet white edible pulp surrounding glossy black seeds. It thrives in tropical and subtropical climates."
751,,Kambing-kambing,Acalypha indica,"Traditionally used to relieve cough, asthma, constipation, skin diseases, scabies, wounds, intestinal worms, boils, and inflammation. The leaves are highly valued for their antimicrobial, expectorant, and anti-inflammatory properties.","Fresh leaves are boiled to prepare a decoction for cough and constipation. Crushed leaves are applied directly to wounds, boils, fungal infections, and scabies. The warmed leaves may also be used as a poultice for swollen joints and painful muscles.","Excessive consumption may cause nausea, vomiting, or diarrhea. Individuals with chronic liver or kidney disease should consult a healthcare provider before medicinal use. Pregnant and breastfeeding women should avoid internal use because adequate safety information is lacking. Proper identification is important because similar-looking species may have different medicinal properties.","Acalypha indica is an erect annual herb belonging to the Euphorbiaceae family. It usually grows between 30 and 70 centimeters tall with slender green stems and ovate leaves that have serrated margins. Small green flowers are borne in elongated spikes arising from the leaf axils. The plant grows abundantly in gardens, roadsides, waste areas, and cultivated fields throughout tropical regions."
